"chr" "gene" "dom" "subdom" "exon" "gene.dom" "gene.dom.subdom" "envarp" "envarpf" "envarpfr" "emutr" "envarpfc" "x"
"2083" "1" "BARHL2" "238039" "238039_0" "E2" "BARHL2:238039" "BARHL2:238039:238039_0" 6 0 0 2.9666e-06 0 0.0231681075461762
"2170" "1" "BGLAP" "-" "-_0" "E1" "BGLAP:-" "BGLAP:-:-_0" 3 1 1 1.2002e-06 0 -0.267751044928851
"2171" "1" "BGLAP" "-" "-_0" "E2" "BGLAP:-" "BGLAP:-:-_0" 3 3 2 6.6406e-07 1 -0.267751044928851
"2172" "1" "BGLAP" "-" "-_1" "E4" "BGLAP:-" "BGLAP:-:-_1" 1 0 0 4.0499e-07 0 -0.461697146578869
"2174" "1" "BGLAP" "214503" "214503_0" "E3" "BGLAP:214503" "BGLAP:214503:214503_0" 1 1 1 1.0827e-06 0 -0.461697146578869
"2175" "1" "BGLAP" "214503" "214503_0" "E4" "BGLAP:214503" "BGLAP:214503:214503_0" 12 9 7 2.4166e-06 2 0.60500641249623
"2267" "1" "BROX" "-" "-_0" "E1" "BROX:-" "BROX:-:-_0" 1 1 1 1.1279e-07 0 -0.461697146578869
"2268" "1" "BROX" "-" "-_1" "E11" "BROX:-" "BROX:-:-_1" 4 1 1 9.0308e-07 0 -0.170777994103842
"2269" "1" "BROX" "-" "-_1" "E12" "BROX:-" "BROX:-:-_1" 1 0 0 8.603e-07 0 -0.461697146578869
"2270" "1" "BROX" "185766" "185766_0" "E1" "BROX:185766" "BROX:185766:185766_0" 2 1 1 9.4958e-07 0 -0.36472409575386
"2271" "1" "BROX" "185766" "185766_0" "E10" "BROX:185766" "BROX:185766:185766_0" 1 1 1 1.5113e-06 0 -0.461697146578869
"2272" "1" "BROX" "185766" "185766_0" "E11" "BROX:185766" "BROX:185766:185766_0" 4 3 3 1.0317e-06 0 -0.170777994103842
"2273" "1" "BROX" "185766" "185766_0" "E2" "BROX:185766" "BROX:185766:185766_0" 4 3 2 1.2494e-06 1 -0.170777994103842
"2274" "1" "BROX" "185766" "185766_0" "E3" "BROX:185766" "BROX:185766:185766_0" 5 3 2 1.1495e-06 1 -0.0738049432788328
"2275" "1" "BROX" "185766" "185766_0" "E4" "BROX:185766" "BROX:185766:185766_0" 2 1 1 9.7629e-07 0 -0.36472409575386
"2277" "1" "BROX" "185766" "185766_0" "E6" "BROX:185766" "BROX:185766:185766_0" 5 1 1 1.6162e-06 0 -0.0738049432788328
"2278" "1" "BROX" "185766" "185766_0" "E7" "BROX:185766" "BROX:185766:185766_0" 2 2 2 1.2381e-06 0 -0.36472409575386
"2279" "1" "BROX" "185766" "185766_0" "E8" "BROX:185766" "BROX:185766:185766_0" 1 1 1 8.8324e-07 0 -0.461697146578869
"2280" "1" "BROX" "185766" "185766_0" "E9" "BROX:185766" "BROX:185766:185766_0" 4 2 2 1.0036e-06 0 -0.170777994103842
"2409" "1" "C1orf115" "-" "-_0" "E1" "C1orf115:-" "C1orf115:-:-_0" 1 1 1 1.0636e-05 0 -0.461697146578869
"2410" "1" "C1orf115" "-" "-_0" "E2" "C1orf115:-" "C1orf115:-:-_0" 10 5 3 3.279e-06 2 0.411060310846212
"2544" "1" "C1orf192" "-" "-_0" "E2" "C1orf192:-" "C1orf192:-:-_0" 2 1 1 6.1589e-07 0 -0.36472409575386
"2545" "1" "C1orf192" "-" "-_0" "E3" "C1orf192:-" "C1orf192:-:-_0" 1 0 0 1.4097e-06 0 -0.461697146578869
"2546" "1" "C1orf192" "-" "-_0" "E4" "C1orf192:-" "C1orf192:-:-_0" 5 5 3 2.2452e-06 2 -0.0738049432788328
"2547" "1" "C1orf192" "-" "-_0" "E5" "C1orf192:-" "C1orf192:-:-_0" 2 2 2 2.0903e-06 0 -0.36472409575386
"2576" "1" "C1orf227" "-" "-_0" "E1" "C1orf227:-" "C1orf227:-:-_0" 10 8 7 3.3062e-06 1 0.411060310846212
"2577" "1" "C1orf227" "-" "-_0" "E2" "C1orf227:-" "C1orf227:-:-_0" 2 2 2 2.2325e-07 0 -0.36472409575386
"2642" "1" "C1orf54" "-" "-_0" "E2" "C1orf54:-" "C1orf54:-:-_0" 1 0 0 9.1054e-07 0 -0.461697146578869
"2643" "1" "C1orf54" "-" "-_0" "E3" "C1orf54:-" "C1orf54:-:-_0" 2 2 1 6.0446e-07 1 -0.36472409575386
"2644" "1" "C1orf54" "-" "-_0" "E4" "C1orf54:-" "C1orf54:-:-_0" 5 3 3 1.7461e-06 0 -0.0738049432788328
"2645" "1" "C1orf54" "-" "-_0" "E5" "C1orf54:-" "C1orf54:-:-_0" 2 1 1 1.7539e-06 0 -0.36472409575386
"2737" "1" "C8A" "-" "-_0" "E2" "C8A:-" "C8A:-:-_0" 9 4 2 1.5386e-06 2 0.314087260021203
"2738" "1" "C8A" "-" "-_0" "E3" "C8A:-" "C8A:-:-_0" 6 6 5 1.5412e-06 1 0.0231681075461762
"2740" "1" "C8A" "-" "-_1" "E5" "C8A:-" "C8A:-:-_1" 17 12 12 2.9482e-06 0 1.08987166662128
"2741" "1" "C8A" "-" "-_1" "E6" "C8A:-" "C8A:-:-_1" 9 5 5 2.5994e-06 0 0.314087260021203
"2743" "1" "C8A" "-" "-_2" "E10" "C8A:-" "C8A:-:-_2" 7 5 5 1.8857e-06 0 0.120141158371185
"2746" "1" "C8A" "214559" "214559_0" "E11" "C8A:214559" "C8A:214559:214559_0" 11 8 4 1.6211e-06 4 0.508033361671221
"2747" "1" "C8A" "214671" "214671_0" "E10" "C8A:214671" "C8A:214671:214671_0" 10 6 4 2.0932e-06 2 0.411060310846212
"2748" "1" "C8A" "214671" "214671_0" "E7" "C8A:214671" "C8A:214671:214671_0" 6 3 2 2.4964e-06 1 0.0231681075461762
"2749" "1" "C8A" "214671" "214671_0" "E8" "C8A:214671" "C8A:214671:214671_0" 4 3 2 1.4988e-06 1 -0.170777994103842
"2750" "1" "C8A" "214671" "214671_0" "E9" "C8A:214671" "C8A:214671:214671_0" 9 9 7 2.5475e-06 2 0.314087260021203
"2751" "1" "C8A" "238060" "238060_0" "E3" "C8A:238060" "C8A:238060:238060_0" 1 0 0 3.2156e-07 0 -0.461697146578869
"2752" "1" "C8A" "238060" "238060_0" "E4" "C8A:238060" "C8A:238060:238060_0" 3 3 2 1.3372e-06 1 -0.267751044928851
"2786" "1" "CA6" "-" "-_0" "E1" "CA6:-" "CA6:-:-_0" 1 0 0 8.9163e-07 0 -0.461697146578869
"2787" "1" "CA6" "-" "-_0" "E2" "CA6:-" "CA6:-:-_0" 2 2 2 1.196e-07 0 -0.36472409575386
"2790" "1" "CA6" "239399" "239399_0" "E2" "CA6:239399" "CA6:239399:239399_0" 14 9 4 2.9355e-06 5 0.798952514146248
"2791" "1" "CA6" "239399" "239399_0" "E3" "CA6:239399" "CA6:239399:239399_0" 5 2 1 3.1021e-06 1 -0.0738049432788328
"2792" "1" "CA6" "239399" "239399_0" "E4" "CA6:239399" "CA6:239399:239399_0" 3 3 3 1.517e-06 0 -0.267751044928851
"2793" "1" "CA6" "239399" "239399_0" "E5" "CA6:239399" "CA6:239399:239399_0" 2 2 2 7.182e-07 0 -0.36472409575386
"2794" "1" "CA6" "239399" "239399_0" "E6" "CA6:239399" "CA6:239399:239399_0" 6 3 3 2.3136e-06 0 0.0231681075461762
"2795" "1" "CA6" "239399" "239399_0" "E7" "CA6:239399" "CA6:239399:239399_0" 4 2 2 1.8237e-06 0 -0.170777994103842
"3235" "1" "CCDC181" "-" "-_0" "E1" "CCDC181:-" "CCDC181:-:-_0" 4 3 3 1.3102e-06 0 -0.170777994103842
"3236" "1" "CCDC181" "-" "-_0" "E2" "CCDC181:-" "CCDC181:-:-_0" 32 25 21 1.0905e-05 4 2.54446742899641
"3237" "1" "CCDC181" "-" "-_0" "E3" "CCDC181:-" "CCDC181:-:-_0" 5 4 3 2.0441e-06 1 -0.0738049432788328
"3238" "1" "CCDC181" "-" "-_0" "E4" "CCDC181:-" "CCDC181:-:-_0" 5 3 3 1.928e-06 0 -0.0738049432788328
"3239" "1" "CCDC181" "-" "-_0" "E5" "CCDC181:-" "CCDC181:-:-_0" 4 3 3 2.3373e-06 0 -0.170777994103842
"3910" "1" "CEP350" "-" "-_0" "E1" "CEP350:-" "CEP350:-:-_0" 1 1 1 6.9492e-07 0 -0.461697146578869
"3911" "1" "CEP350" "-" "-_0" "E10" "CEP350:-" "CEP350:-:-_0" 4 2 2 1.4732e-06 0 -0.170777994103842
"3912" "1" "CEP350" "-" "-_0" "E11" "CEP350:-" "CEP350:-:-_0" 32 20 16 1.1059e-05 4 2.54446742899641
"3913" "1" "CEP350" "-" "-_0" "E12" "CEP350:-" "CEP350:-:-_0" 6 4 3 2.0259e-06 1 0.0231681075461762
"3914" "1" "CEP350" "-" "-_0" "E13" "CEP350:-" "CEP350:-:-_0" 6 4 4 1.9949e-06 0 0.0231681075461762
"3915" "1" "CEP350" "-" "-_0" "E14" "CEP350:-" "CEP350:-:-_0" 6 5 4 1.9059e-06 1 0.0231681075461762
"3916" "1" "CEP350" "-" "-_0" "E15" "CEP350:-" "CEP350:-:-_0" 9 5 5 2.9953e-06 0 0.314087260021203
"3917" "1" "CEP350" "-" "-_0" "E16" "CEP350:-" "CEP350:-:-_0" 8 4 4 2.5434e-06 0 0.217114209196194
"3918" "1" "CEP350" "-" "-_0" "E17" "CEP350:-" "CEP350:-:-_0" 4 3 3 1.4309e-06 0 -0.170777994103842
"3919" "1" "CEP350" "-" "-_0" "E18" "CEP350:-" "CEP350:-:-_0" 9 7 6 2.4486e-06 1 0.314087260021203
"3920" "1" "CEP350" "-" "-_0" "E19" "CEP350:-" "CEP350:-:-_0" 3 2 1 1.808e-06 1 -0.267751044928851
"3921" "1" "CEP350" "-" "-_0" "E2" "CEP350:-" "CEP350:-:-_0" 3 3 3 6.9129e-07 0 -0.267751044928851
"3922" "1" "CEP350" "-" "-_0" "E20" "CEP350:-" "CEP350:-:-_0" 3 3 2 1.2081e-06 1 -0.267751044928851
"3923" "1" "CEP350" "-" "-_0" "E21" "CEP350:-" "CEP350:-:-_0" 5 3 3 2.0134e-06 0 -0.0738049432788328
"3924" "1" "CEP350" "-" "-_0" "E22" "CEP350:-" "CEP350:-:-_0" 6 3 3 2.4864e-06 0 0.0231681075461762
"3925" "1" "CEP350" "-" "-_0" "E23" "CEP350:-" "CEP350:-:-_0" 3 1 1 2.3699e-06 0 -0.267751044928851
"3927" "1" "CEP350" "-" "-_0" "E25" "CEP350:-" "CEP350:-:-_0" 3 2 2 1.9701e-06 0 -0.267751044928851
"3928" "1" "CEP350" "-" "-_0" "E26" "CEP350:-" "CEP350:-:-_0" 7 6 6 1.9535e-06 0 0.120141158371185
"3929" "1" "CEP350" "-" "-_0" "E27" "CEP350:-" "CEP350:-:-_0" 6 5 3 3.0244e-06 2 0.0231681075461762
"3930" "1" "CEP350" "-" "-_0" "E28" "CEP350:-" "CEP350:-:-_0" 7 5 5 2.3181e-06 0 0.120141158371185
"3931" "1" "CEP350" "-" "-_0" "E29" "CEP350:-" "CEP350:-:-_0" 3 2 2 1.5253e-06 0 -0.267751044928851
"3932" "1" "CEP350" "-" "-_0" "E3" "CEP350:-" "CEP350:-:-_0" 2 2 0 1.2988e-06 2 -0.36472409575386
"3933" "1" "CEP350" "-" "-_0" "E30" "CEP350:-" "CEP350:-:-_0" 3 2 1 1.6837e-06 1 -0.267751044928851
"3934" "1" "CEP350" "-" "-_0" "E31" "CEP350:-" "CEP350:-:-_0" 4 1 1 1.7416e-06 0 -0.170777994103842
"3935" "1" "CEP350" "-" "-_0" "E32" "CEP350:-" "CEP350:-:-_0" 2 1 1 1.2385e-06 0 -0.36472409575386
"3936" "1" "CEP350" "-" "-_0" "E33" "CEP350:-" "CEP350:-:-_0" 23 15 11 1.0205e-05 4 1.67170997157133
"3937" "1" "CEP350" "-" "-_0" "E4" "CEP350:-" "CEP350:-:-_0" 3 3 3 2.3491e-06 0 -0.267751044928851
"3938" "1" "CEP350" "-" "-_0" "E5" "CEP350:-" "CEP350:-:-_0" 25 22 20 8.501e-06 2 1.86565607322135
"3939" "1" "CEP350" "-" "-_0" "E6" "CEP350:-" "CEP350:-:-_0" 3 2 2 1.4333e-06 0 -0.267751044928851
"3940" "1" "CEP350" "-" "-_0" "E7" "CEP350:-" "CEP350:-:-_0" 3 3 3 1.2701e-06 0 -0.267751044928851
"3941" "1" "CEP350" "-" "-_0" "E8" "CEP350:-" "CEP350:-:-_0" 3 3 3 1.5959e-06 0 -0.267751044928851
"3942" "1" "CEP350" "-" "-_0" "E9" "CEP350:-" "CEP350:-:-_0" 29 20 19 8.55e-06 1 2.25354827652138
"3943" "1" "CEP350" "-" "-_1" "E33" "CEP350:-" "CEP350:-:-_1" 16 11 9 8.8673e-06 2 0.992898615796266
"3944" "1" "CEP350" "-" "-_1" "E34" "CEP350:-" "CEP350:-:-_1" 8 5 4 4.8149e-06 1 0.217114209196194
"3945" "1" "CEP350" "-" "-_1" "E35" "CEP350:-" "CEP350:-:-_1" 5 3 3 1.9278e-06 0 -0.0738049432788328
"3946" "1" "CEP350" "-" "-_1" "E36" "CEP350:-" "CEP350:-:-_1" 2 2 2 1.332e-06 0 -0.36472409575386
"3947" "1" "CEP350" "-" "-_1" "E37" "CEP350:-" "CEP350:-:-_1" 3 2 2 2.0639e-06 0 -0.267751044928851
"3948" "1" "CEP350" "214997" "214997_0" "E33" "CEP350:214997" "CEP350:214997:214997_0" 3 2 2 2.3184e-06 0 -0.267751044928851
"4131" "1" "CHD1L" "-" "-_0" "E1" "CHD1L:-" "CHD1L:-:-_0" 2 2 0 3.7952e-06 2 -0.36472409575386
"4132" "1" "CHD1L" "-" "-_0" "E2" "CHD1L:-" "CHD1L:-:-_0" 1 0 0 1.1945e-06 0 -0.461697146578869
"4133" "1" "CHD1L" "-" "-_1" "E10" "CHD1L:-" "CHD1L:-:-_1" 7 6 5 1.1737e-06 1 0.120141158371185
"4135" "1" "CHD1L" "-" "-_1" "E6" "CHD1L:-" "CHD1L:-:-_1" 1 0 0 2.5398e-07 0 -0.461697146578869
"4136" "1" "CHD1L" "-" "-_1" "E7" "CHD1L:-" "CHD1L:-:-_1" 8 1 1 1.9476e-06 0 0.217114209196194
"4137" "1" "CHD1L" "-" "-_1" "E8" "CHD1L:-" "CHD1L:-:-_1" 1 1 1 1.7495e-06 0 -0.461697146578869
"4138" "1" "CHD1L" "-" "-_1" "E9" "CHD1L:-" "CHD1L:-:-_1" 2 2 2 1.2879e-06 0 -0.36472409575386
"4139" "1" "CHD1L" "-" "-_2" "E14" "CHD1L:-" "CHD1L:-:-_2" 7 6 6 2.0914e-06 0 0.120141158371185
"4140" "1" "CHD1L" "-" "-_2" "E15" "CHD1L:-" "CHD1L:-:-_2" 5 3 3 1.6859e-06 0 -0.0738049432788328
"4141" "1" "CHD1L" "-" "-_2" "E16" "CHD1L:-" "CHD1L:-:-_2" 8 7 7 1.7658e-06 0 0.217114209196194
"4142" "1" "CHD1L" "-" "-_2" "E17" "CHD1L:-" "CHD1L:-:-_2" 9 6 4 1.7392e-06 2 0.314087260021203
"4143" "1" "CHD1L" "-" "-_2" "E18" "CHD1L:-" "CHD1L:-:-_2" 5 4 3 1.4647e-06 1 -0.0738049432788328
"4145" "1" "CHD1L" "-" "-_3" "E23" "CHD1L:-" "CHD1L:-:-_3" 2 2 1 7.8973e-07 1 -0.36472409575386
"4147" "1" "CHD1L" "238005" "238005_0" "E3" "CHD1L:238005" "CHD1L:238005:238005_0" 3 3 3 1.0314e-06 0 -0.267751044928851
"4148" "1" "CHD1L" "238005" "238005_0" "E4" "CHD1L:238005" "CHD1L:238005:238005_0" 3 3 3 1.5751e-06 0 -0.267751044928851
"4150" "1" "CHD1L" "238005" "238005_0" "E6" "CHD1L:238005" "CHD1L:238005:238005_0" 1 1 1 5.6411e-07 0 -0.461697146578869
"4151" "1" "CHD1L" "238034" "238034_0" "E11" "CHD1L:238034" "CHD1L:238034:238034_0" 2 2 2 9.3808e-07 0 -0.36472409575386
"4152" "1" "CHD1L" "238034" "238034_0" "E12" "CHD1L:238034" "CHD1L:238034:238034_0" 6 3 3 1.5044e-06 0 0.0231681075461762
"4153" "1" "CHD1L" "238034" "238034_0" "E13" "CHD1L:238034" "CHD1L:238034:238034_0" 2 1 1 1.3317e-06 0 -0.36472409575386
"4155" "1" "CHD1L" "239447" "239447_0" "E18" "CHD1L:239447" "CHD1L:239447:239447_0" 6 5 5 1.414e-06 0 0.0231681075461762
"4156" "1" "CHD1L" "239447" "239447_0" "E19" "CHD1L:239447" "CHD1L:239447:239447_0" 5 4 2 1.3354e-06 2 -0.0738049432788328
"4157" "1" "CHD1L" "239447" "239447_0" "E20" "CHD1L:239447" "CHD1L:239447:239447_0" 1 1 0 6.8505e-07 1 -0.461697146578869
"4158" "1" "CHD1L" "239447" "239447_0" "E21" "CHD1L:239447" "CHD1L:239447:239447_0" 7 6 4 1.5154e-06 2 0.120141158371185
"4159" "1" "CHD1L" "239447" "239447_0" "E22" "CHD1L:239447" "CHD1L:239447:239447_0" 7 5 5 1.6911e-06 0 0.120141158371185
"4329" "1" "CLCA4" "-" "-_1" "E6" "CLCA4:-" "CLCA4:-:-_1" 3 3 2 1.3027e-06 1 -0.267751044928851
"4330" "1" "CLCA4" "-" "-_2" "E9" "CLCA4:-" "CLCA4:-:-_2" 6 4 3 8.1041e-07 1 0.0231681075461762
"4331" "1" "CLCA4" "-" "-_3" "E12" "CLCA4:-" "CLCA4:-:-_3" 4 2 2 2.349e-06 0 -0.170777994103842
"4332" "1" "CLCA4" "-" "-_3" "E13" "CLCA4:-" "CLCA4:-:-_3" 8 6 6 2.9504e-06 0 0.217114209196194
"4333" "1" "CLCA4" "-" "-_3" "E14" "CLCA4:-" "CLCA4:-:-_3" 12 8 7 4.4732e-06 1 0.60500641249623
"4334" "1" "CLCA4" "149481" "149481_0" "E1" "CLCA4:149481" "CLCA4:149481:149481_0" 2 2 1 1.1124e-06 1 -0.36472409575386
"4335" "1" "CLCA4" "149481" "149481_0" "E2" "CLCA4:149481" "CLCA4:149481:149481_0" 1 1 1 1.617e-06 0 -0.461697146578869
"4336" "1" "CLCA4" "149481" "149481_0" "E3" "CLCA4:149481" "CLCA4:149481:149481_0" 9 6 6 1.7283e-06 0 0.314087260021203
"4337" "1" "CLCA4" "149481" "149481_0" "E4" "CLCA4:149481" "CLCA4:149481:149481_0" 5 4 4 1.6244e-06 0 -0.0738049432788328
"4338" "1" "CLCA4" "149481" "149481_0" "E5" "CLCA4:149481" "CLCA4:149481:149481_0" 6 5 5 1.9666e-06 0 0.0231681075461762
"4339" "1" "CLCA4" "149481" "149481_0" "E6" "CLCA4:149481" "CLCA4:149481:149481_0" 2 1 1 6.7324e-07 0 -0.36472409575386
"4340" "1" "CLCA4" "150094" "150094_0" "E10" "CLCA4:150094" "CLCA4:150094:150094_0" 7 3 3 2.7781e-06 0 0.120141158371185
"4341" "1" "CLCA4" "150094" "150094_0" "E11" "CLCA4:150094" "CLCA4:150094:150094_0" 10 6 6 3.4682e-06 0 0.411060310846212
"4342" "1" "CLCA4" "150094" "150094_0" "E12" "CLCA4:150094" "CLCA4:150094:150094_0" 2 0 0 5.4474e-07 0 -0.36472409575386
"4345" "1" "CLCA4" "238119" "238119_0" "E7" "CLCA4:238119" "CLCA4:238119:238119_0" 5 3 3 2.6741e-06 0 -0.0738049432788328
"4346" "1" "CLCA4" "238119" "238119_0" "E8" "CLCA4:238119" "CLCA4:238119:238119_0" 5 2 2 2.1274e-06 0 -0.0738049432788328
"4391" "1" "CLCNKA" "-" "-_0" "E1" "CLCNKA:-" "CLCNKA:-:-_0" 5 3 2 1.6389e-06 1 -0.0738049432788328
"4392" "1" "CLCNKA" "-" "-_0" "E2" "CLCNKA:-" "CLCNKA:-:-_0" 2 2 1 6.2674e-07 1 -0.36472409575386
"4394" "1" "CLCNKA" "-" "-_1" "E11" "CLCNKA:-" "CLCNKA:-:-_1" 11 7 6 2.6974e-06 1 0.508033361671221
"4395" "1" "CLCNKA" "-" "-_2" "E14" "CLCNKA:-" "CLCNKA:-:-_2" 2 1 0 5.6015e-07 1 -0.36472409575386
"4397" "1" "CLCNKA" "-" "-_3" "E19" "CLCNKA:-" "CLCNKA:-:-_3" 3 2 1 5.2164e-07 1 -0.267751044928851
"4398" "1" "CLCNKA" "239655" "239655_0" "E10" "CLCNKA:239655" "CLCNKA:239655:239655_0" 6 3 2 1.0969e-06 1 0.0231681075461762
"4399" "1" "CLCNKA" "239655" "239655_0" "E2" "CLCNKA:239655" "CLCNKA:239655:239655_0" 5 3 3 1.459e-06 0 -0.0738049432788328
"4400" "1" "CLCNKA" "239655" "239655_0" "E3" "CLCNKA:239655" "CLCNKA:239655:239655_0" 7 7 4 1.9366e-06 3 0.120141158371185
"4401" "1" "CLCNKA" "239655" "239655_0" "E4" "CLCNKA:239655" "CLCNKA:239655:239655_0" 3 0 0 2.0445e-06 0 -0.267751044928851
"4402" "1" "CLCNKA" "239655" "239655_0" "E5" "CLCNKA:239655" "CLCNKA:239655:239655_0" 3 2 2 1.9465e-06 0 -0.267751044928851
"4403" "1" "CLCNKA" "239655" "239655_0" "E6" "CLCNKA:239655" "CLCNKA:239655:239655_0" 2 0 0 1.7133e-06 0 -0.36472409575386
"4404" "1" "CLCNKA" "239655" "239655_0" "E7" "CLCNKA:239655" "CLCNKA:239655:239655_0" 8 6 6 2.5478e-06 0 0.217114209196194
"4405" "1" "CLCNKA" "239655" "239655_0" "E8" "CLCNKA:239655" "CLCNKA:239655:239655_0" 3 1 1 1.5916e-06 0 -0.267751044928851
"4406" "1" "CLCNKA" "239655" "239655_0" "E9" "CLCNKA:239655" "CLCNKA:239655:239655_0" 7 5 3 1.7346e-06 2 0.120141158371185
"4408" "1" "CLCNKA" "239655" "239655_1" "E12" "CLCNKA:239655" "CLCNKA:239655:239655_1" 1 1 1 9.6375e-07 0 -0.461697146578869
"4409" "1" "CLCNKA" "239655" "239655_1" "E13" "CLCNKA:239655" "CLCNKA:239655:239655_1" 6 3 1 2.1056e-06 2 0.0231681075461762
"4410" "1" "CLCNKA" "239655" "239655_1" "E14" "CLCNKA:239655" "CLCNKA:239655:239655_1" 12 6 5 3.4718e-06 1 0.60500641249623
"4411" "1" "CLCNKA" "239964" "239964_0" "E15" "CLCNKA:239964" "CLCNKA:239964:239964_0" 7 5 5 1.7873e-06 0 0.120141158371185
"4412" "1" "CLCNKA" "239964" "239964_0" "E16" "CLCNKA:239964" "CLCNKA:239964:239964_0" 2 1 1 1.158e-06 0 -0.36472409575386
"4413" "1" "CLCNKA" "239964" "239964_0" "E17" "CLCNKA:239964" "CLCNKA:239964:239964_0" 3 2 2 1.3101e-06 0 -0.267751044928851
"4414" "1" "CLCNKA" "239964" "239964_0" "E18" "CLCNKA:239964" "CLCNKA:239964:239964_0" 3 1 0 1.6252e-06 1 -0.267751044928851
"4415" "1" "CLCNKA" "239964" "239964_0" "E19" "CLCNKA:239964" "CLCNKA:239964:239964_0" 1 1 1 1.0552e-07 0 -0.461697146578869
"4867" "1" "COL9A2" "-" "-_0" "E1" "COL9A2:-" "COL9A2:-:-_0" 4 3 2 1.8652e-06 1 -0.170777994103842
"4868" "1" "COL9A2" "-" "-_0" "E10" "COL9A2:-" "COL9A2:-:-_0" 2 2 2 1.035e-06 0 -0.36472409575386
"4869" "1" "COL9A2" "-" "-_0" "E11" "COL9A2:-" "COL9A2:-:-_0" 3 3 1 7.9401e-07 2 -0.267751044928851
"4870" "1" "COL9A2" "-" "-_0" "E12" "COL9A2:-" "COL9A2:-:-_0" 1 1 1 1.329e-06 0 -0.461697146578869
"4871" "1" "COL9A2" "-" "-_0" "E13" "COL9A2:-" "COL9A2:-:-_0" 1 0 0 7.7897e-07 0 -0.461697146578869
"4872" "1" "COL9A2" "-" "-_0" "E14" "COL9A2:-" "COL9A2:-:-_0" 2 2 1 8.3106e-07 1 -0.36472409575386
"4873" "1" "COL9A2" "-" "-_0" "E15" "COL9A2:-" "COL9A2:-:-_0" 3 2 1 1.1562e-06 1 -0.267751044928851
"4874" "1" "COL9A2" "-" "-_0" "E16" "COL9A2:-" "COL9A2:-:-_0" 2 0 0 1.1101e-06 0 -0.36472409575386
"4875" "1" "COL9A2" "-" "-_0" "E17" "COL9A2:-" "COL9A2:-:-_0" 2 1 1 1.1494e-06 0 -0.36472409575386
"4876" "1" "COL9A2" "-" "-_0" "E18" "COL9A2:-" "COL9A2:-:-_0" 3 1 1 1.025e-06 0 -0.267751044928851
